wid,fog,hail,hum,precipm,pressurem,lowpressure,rain,snow,heavysnow,tempm,thunder,vism,lowvisibility,wspdm,highwindspeed
947917,0,0,82,0,998.3,1,1,0,0,2.2,0,16.1,0,20.4,
997158,0,0,66,,1024,0,0,0,0,-3.3,0,16.1,0,5.6,0
997159,0,0,82,,1031.1,0,0,0,0,0,0,16.1,0,18.5,0
1004277,0,0,88,,1031,0,0,0,0,-11.7,0,16.1,0,9.3,0
1112646,0,0,88,,1006,1,0,0,0,11,0,16.1,0,14.8,0
1112684,0,0,73,,1002.6,1,0,0,0,3.3,0,14.5,0,18.5,0
1132505,0,0,73,,1002.6,1,0,0,0,3.3,0,14.5,0,18.5,0
1148108,0,0,51,,1027.1,0,0,0,0,4.4,0,16.1,0,18.5,0
1148117,0,0,85,,1030.8,0,0,0,0,0,0,16.1,0,18.5,0
1148121,0,0,45,,1025.6,0,0,0,0,-3.9,0,16.1,0,31.5,
1148193,0,0,67,,1008.2,1,0,0,0,14.4,0,16.1,0,29.6,
1148204,0,0,52,,1026.4,0,0,0,0,2.8,0,16.1,0,14.8,0
1214642,0,0,87,0,1031.4,0,0,1,0,0,0,4.8,0,27.8,
1214679,0,0,86,0,1029.3,0,0,1,0,-6,0,2.4,0,13,0
1214780,0,0,64,,1032,0,0,0,0,-11.1,0,16.1,0,22.2,
1214795,0,0,93,0,1029.3,0,0,1,0,-1,0,4.0,0,16.7,0
1214861,0,0,36,,1022.7,0,0,0,0,4.4,0,16.1,0,22.2,
1214912,0,0,60,,1026.2,0,0,0,0,-3.9,0,16.1,0,31.5,
1214928,0,0,49,,1026.7,0,0,0,0,6.7,0,16.1,0,25.9,
1214930,0,0,51,,1027.1,0,0,0,0,4.4,0,16.1,0,18.5,0
1235754,0,0,42,,1026.2,0,0,0,0,-4.4,0,16.1,0,33.3,
1235862,0,0,64,,1026.9,0,0,0,0,0.6,0,16.1,0,14.8,0
1235877,0,0,82,,1006.1,1,0,0,0,2.2,0,9.7,0,11.1,0
1268928,0,0,65,0,1026.6,0,0,0,0,-4.4,0,16.1,0,27.8,
1268929,0,0,86,0,1029.3,0,0,1,0,-6,0,2.4,0,13,0
1268968,0,0,70,,1024,0,0,0,0,5,0,16.1,0,22.2,
1269008,0,0,53,,1027.1,0,0,0,0,6.1,0,16.1,0,22.2,
1269017,0,0,93,0.3,1008.4,1,0,1,0,0,0,8.0,0,11.1,0
1303788,0,0,57,,1026.8,0,0,0,0,2.2,0,16.1,0,11.1,0
1303799,0,0,85,0,1027.6,0,0,1,0,-3.9,0,4.8,0,18.5,0
1310532,0,0,93,,1024.9,0,0,0,0,4,0,4.8,0,14.8,0
1310576,0,0,74,,1025.1,0,0,0,0,10.6,0,16.1,0,18.5,0
1310586,0,0,97,0,1027,0,0,0,0,3.3,0,8.0,0,16.7,0
1310674,0,0,57,,1008,1,0,0,0,23.3,0,16.1,0,44.4,1
1310681,0,0,67,,1027.8,0,0,0,0,5.6,0,16.1,0,14.8,0
1311504,0,0,37,,1030.1,0,0,0,0,5.6,0,16.1,0,0,0
1311509,0,0,89,,1004,1,0,0,0,-2.8,0,16.1,0,24.1,
1311518,0,0,88,,1030.8,0,0,0,0,-8.9,0,11.3,0,7.4,0
1371834,0,0,60,,1006.6,1,0,0,0,7.2,0,16.1,0,11.1,0
1371839,0,0,57,,1027.1,0,0,0,0,3.3,0,16.1,0,11.1,0
1396782,0,0,62,,1030.2,0,0,0,0,-10,0,16.1,0,0,0
1418696,0,0,87,0,1001.2,1,0,0,0,6,0,16.1,0,13,0
1441470,0,0,96,0.5,1006.7,1,0,1,1,0,0,1.6,0,16.7,0
1473018,0,0,100,0.5,1007.3,1,0,1,1,0,0,2.4,0,13,0
1547509,0,0,62,,1026.8,0,0,0,0,2.2,0,16.1,0,14.8,0
1547540,0,0,93,,1007,1,0,0,0,3.3,0,16.1,0,16.7,0
1547541,0,0,82,0,1006,1,1,0,0,3.9,0,11.3,0,13,0
1565056,0,0,93,0.5,1005.6,1,0,1,1,0,0,2.4,0,14.8,0
1638569,0,0,56,,1007,1,0,0,0,7.8,0,16.1,0,22.2,
1638572,0,0,57,,1028.6,0,0,0,0,-7.8,0,16.1,0,14.8,0
1638633,1,0,100,0.8,1007.5,1,0,1,1,0,0,0.8,1,13,0
1638655,0,0,87,0,1000.9,1,1,0,0,7,0,16.1,0,13,0
1638702,0,0,93,,1008.6,1,0,0,0,2.8,0,16.1,0,18.5,0
1638727,0,0,93,0.3,1007.9,1,0,0,0,2.8,0,11.3,0,18.5,0
1638764,0,0,75,,1025.1,0,0,0,0,0,0,16.1,0,16.7,0
1638777,0,0,52,,1029.6,0,0,0,0,2.2,0,16.1,0,5.6,0
1657595,0,0,79,0,1024.4,0,0,1,0,0,0,12.9,0,11.1,0
1657610,0,0,90,,1001.3,1,0,0,0,7.2,0,16.1,0,16.7,0
1657631,0,0,87,0.3,1005.6,1,0,0,0,1,0,16.1,0,31.5,
1669720,0,0,71,,1006.5,1,0,0,0,23.3,0,16.1,0,42.6,1
1720407,0,0,86,0,1001,1,1,0,0,2.8,0,14.5,0,27.8,
1720426,0,0,79,0,1024.4,0,0,1,0,0,0,12.9,0,11.1,0
1726495,0,0,46,,1006.6,1,0,0,0,29.4,0,14.5,0,31.5,
1726536,0,0,76,,1007.3,1,0,0,0,22.2,0,16.1,0,29.6,
1726543,0,0,42,,1002.9,1,0,0,0,17,0,16.1,0,13,0
1726551,0,0,78,,997.7,1,0,0,0,22.2,0,16.1,0,27.8,
1726559,0,0,29,,1001.9,1,0,0,0,22,0,16.1,0,31.5,
1726561,0,0,60,,1007.1,1,0,0,0,25.6,0,16.1,0,31.5,
1726587,0,0,29,,1006.4,1,0,0,0,24.4,0,16.1,0,29.6,
1727376,0,0,46,,1008.6,1,0,0,0,8.3,0,16.1,0,33.3,
1787167,0,0,86,0.3,1006.7,1,0,1,0,-2,0,2.8,0,37,
1811558,0,0,89,,1006.6,1,0,0,0,5.6,0,14.5,0,13,0
1811560,0,0,70,,1003.8,1,0,0,0,3.9,0,16.1,0,13,0
1811572,0,0,51,,1027.6,0,0,0,0,4.4,0,16.1,0,13,0
1814816,0,0,89,0,1008.6,1,1,0,0,4.4,0,12.9,0,18.5,0
1814829,0,0,92,0,1007.5,1,0,1,0,-2.2,0,9.7,0,29.6,
1839128,0,0,65,,1002.1,1,0,0,0,5.6,0,16.1,0,9.3,0
1839150,0,0,32,,1031.1,0,0,0,0,6.1,0,16.1,0,16.7,0
1864417,0,0,79,0,1008.3,1,0,1,0,2.8,0,4.8,0,24.1,
1864425,0,0,50,,1024.6,0,0,0,0,0,0,16.1,0,25.9,
1864427,0,0,66,0,1036.5,0,0,0,0,-1.1,0,16.1,0,11.1,0
1864428,0,0,53,,1031.9,0,0,0,0,3.3,0,16.1,0,14.8,0
1871779,0,0,60,,1000.2,1,0,0,0,6.1,0,16.1,0,14.8,0
1899697,0,0,89,,1006.9,1,0,0,0,4.4,0,14.5,0,13,0
1899730,0,0,70,,1002,1,0,0,0,4.4,0,16.1,0,11.1,0
1899733,0,0,64,,1023.9,0,0,0,0,2.2,0,16.1,0,11.1,0
1899755,0,0,41,,1009,1,0,0,0,23,0,16.1,0,16.7,0
1899769,0,0,71,,990.9,1,0,0,0,11.7,0,16.1,0,38.9,
1899778,0,0,100,,1007.7,1,0,0,0,3,0,2.4,0,7.4,0
1899788,0,0,42,,1005.9,1,0,0,0,25.6,0,16.1,0,14.8,0
1982697,0,0,76,,1002.8,1,0,0,0,2.2,0,16.1,0,9.3,0
1982702,0,0,75,,1025.2,0,0,0,0,1.1,0,16.1,0,9.3,0
1982729,0,0,60,,1001.8,1,0,0,0,5.6,0,16.1,0,18.5,0
1982745,0,0,100,2,1009,1,1,0,0,3,0,3.2,0,16.7,0
1982748,0,0,80,0,1004.3,1,0,1,0,-1,0,6.4,0,20.4,
2001928,0,0,56,,1002.7,1,0,0,0,7.2,0,16.1,0,25.9,
2001936,0,0,73,0,1025.3,0,0,1,0,-9,0,4.8,0,24.1,
2001941,0,0,40,,1029.5,0,0,0,0,6.1,0,16.1,0,14.8,0
2002035,0,0,44,,1005.7,1,0,0,0,26.1,0,16.1,0,31.5,
2080598,0,0,89,,998.3,1,0,0,0,-2.8,0,16.1,0,13,0
2083909,0,0,43,,1027.7,0,0,0,0,6.1,0,16.1,0,13,0
2083911,0,0,97,,1008.1,1,0,0,0,3.3,0,2.0,0,7.4,0
2083917,0,0,32,,1026.2,0,0,0,0,9.4,0,16.1,0,16.7,0
2083963,0,0,61,0,1025.4,0,0,0,0,-1.7,0,16.1,0,22.2,
2084012,0,0,38,,1006.3,1,0,0,0,27.2,0,16.1,0,29.6,
2084046,0,0,65,,1003.2,1,0,0,0,4.4,0,16.1,0,16.7,0
2084060,0,0,43,,1027.7,0,0,0,0,6.1,0,16.1,0,13,0
2084065,0,0,85,0,1006.6,1,0,1,0,-1.7,0,3.2,0,9.3,0
2084085,0,0,58,0,1024.9,0,0,1,0,-8,0,11.3,0,27.8,
2084136,0,0,78,0,1008,1,0,0,0,1.7,0,16.1,0,24.1,
2084139,0,0,58,,1022.8,0,0,0,0,4.4,0,16.1,0,0,0
2084148,0,0,64,0,1036.5,0,0,1,0,-1.1,0,16.1,0,5.6,0
2084161,0,0,38,,1008.3,1,0,0,0,24.4,0,16.1,0,22.2,
2105275,0,0,54,,990,1,0,0,0,16.1,0,16.1,0,31.5,
2105287,0,0,93,0.3,1006.3,1,0,1,0,-2,0,1.6,0,38.9,
2105290,0,0,38,,1025.4,0,0,0,0,3.9,0,16.1,0,20.4,
2105318,0,0,52,,1027.8,0,0,0,0,0.6,0,16.1,0,7.4,0
2105323,0,0,59,,1006.5,1,0,0,0,21.7,0,16.1,0,16.7,0
2105324,0,0,59,,1006.9,1,0,0,0,21.1,0,16.1,0,0,0
2105341,0,0,53,,1031.9,0,0,0,0,3.3,0,16.1,0,14.8,0
2118625,0,0,22,,1023,0,0,0,0,18.3,0,16.1,0,16.7,0
2118696,0,0,66,,1009,1,0,0,0,25,0,16.1,0,7.4,0
2140073,0,0,75,0,1005,1,0,1,0,-1,0,3.2,0,20.4,
2140082,0,0,40,,1005.8,1,0,0,0,26.1,0,16.1,0,16.7,0
2140089,0,0,93,0.5,1007.9,1,1,0,0,5,0,16.1,0,18.5,0
2140092,0,0,64,,1025.4,0,0,0,0,-9.4,0,16.1,0,16.7,0
2175243,0,0,64,,1028.7,0,0,0,0,-1.7,0,16.1,0,20.4,
2175249,0,0,93,0,1006.3,1,0,1,0,-2,0,0.8,1,33.3,
2175258,0,0,43,,1005.8,1,0,0,0,26.7,0,16.1,0,29.6,
2181968,0,0,74,,1005.5,1,0,0,0,24.4,0,16.1,0,35.2,
2181979,0,0,31,,1003.9,1,0,0,0,26.7,0,16.1,0,14.8,0
2181980,0,0,45,,1004.8,1,0,0,0,26.7,0,16.1,0,22.2,
2182036,0,0,67,,1028.9,0,0,0,0,16.1,0,16.1,0,13,0
2182042,0,0,79,,1006.5,1,0,0,0,23.9,0,12.9,0,18.5,0
2182065,0,0,96,0.5,1026.4,0,1,0,0,15.6,0,6.4,0,14.8,0
2182090,0,0,89,,1008.7,1,0,0,0,24,0,8.0,0,7.4,0
2182097,0,0,88,,1028.7,0,0,0,0,16,0,16.1,0,14.8,0
2245936,0,0,60,0,1005,1,0,0,0,16.7,0,16.1,0,9.3,0
2245950,0,0,37,,1027.3,0,0,0,0,13.9,0,16.1,0,13,0
2269547,0,0,89,,1006.8,1,0,0,0,11.7,0,4.8,0,7.4,0
2269569,0,0,48,,1025.2,0,0,0,0,8.3,0,16.1,0,22.2,
2269570,0,0,37,,1027.3,0,0,0,0,13.9,0,16.1,0,13,0
2272744,0,0,100,,1008.4,1,0,0,0,7,0,6.4,0,18.5,0
2272764,0,0,40,,1026.2,0,0,0,0,12.2,0,16.1,0,0,0
2296411,0,0,64,,1007.3,1,0,0,0,9.4,0,16.1,0,25.9,
2320942,0,0,63,0,1009,1,1,0,0,7.8,0,16.1,0,16.7,0
2320945,0,0,33,,1026.1,0,0,0,0,13.9,0,16.1,0,9.3,0
2354249,0,0,100,1.5,1006.3,1,1,0,0,6,0,2.4,0,0,0
2405791,0,0,21,,1005.9,1,0,0,0,13.3,0,16.1,0,25.9,
2452548,0,0,32,,1004.8,1,0,0,0,20,0,16.1,0,27.8,
2531685,0,0,37,,1027.3,0,0,0,0,13.9,0,16.1,0,13,0
2531725,0,0,44,,1024.1,0,0,0,0,10.6,0,16.1,0,11.1,0
2531766,0,0,44,,1024.9,0,0,0,0,7.2,0,16.1,0,14.8,0
2531814,0,0,39,,1024,0,0,0,0,15,0,16.1,0,5.6,0
2552303,0,0,50,,1024.9,0,0,0,0,8.3,0,16.1,0,22.2,
2552313,0,0,100,,1008.4,1,0,0,0,7,0,6.4,0,18.5,0
2552314,0,0,51,,1003.2,1,0,0,0,6.1,0,16.1,0,33.3,
2552316,0,0,44,,1024.1,0,0,0,0,10.6,0,16.1,0,11.1,0
2552318,0,0,69,,1005,1,0,0,0,15,0,16.1,0,13,0
2552400,0,0,96,1.5,1006.1,1,1,0,0,12.8,0,2.4,0,22.2,
2557619,0,0,28,,1008.5,1,0,0,0,11.1,0,16.1,0,14.8,0
2585792,0,0,56,,1008.9,1,0,0,0,7.2,0,16.1,0,20.4,
2585808,0,0,37,,1006.7,1,0,0,0,17.2,0,16.1,0,25.9,
2585837,0,0,94,,1005,1,0,0,0,12,0,12.9,0,14.8,0
2585852,0,0,87,0.5,1001.5,1,1,0,0,16.1,0,12.9,0,13,0
2585887,0,0,59,,1005.5,1,0,0,0,12.8,0,16.1,0,20.4,
2625886,0,0,66,0,1008.6,1,0,0,0,26.1,0,14.5,0,29.6,
2625907,0,0,50,,1002.1,1,0,0,0,33.9,0,8.0,0,18.5,0
2625985,0,0,56,,1007.6,1,0,0,0,27.2,0,16.1,0,35.2,
2625987,0,0,57,,1003.9,1,0,0,0,30,0,14.5,0,22.2,
2716613,0,0,63,,1007,1,0,0,0,20,0,16.1,0,18.5,0
2765524,0,0,97,1.3,1008.7,1,1,0,0,14.4,0,2.4,0,5.6,0
2786394,0,0,93,0.3,1000.5,1,1,0,0,13.9,0,9.7,0,22.2,
2866711,0,0,70,,1007.3,1,0,0,0,17.8,0,16.1,0,16.7,0
2866793,0,0,87,,1000.9,1,0,0,0,15,0,16.1,0,22.2,
2866819,0,0,73,0,997.9,1,0,0,0,23,1,9.7,0,14.8,0
2866878,0,0,57,,1009,1,0,0,0,23.3,0,16.1,0,24.1,
2866896,0,0,55,,1008.4,1,0,0,0,22.2,0,16.1,0,11.1,0
2866903,0,0,87,,1008,1,0,0,0,17.8,0,8.0,0,7.4,0
2866906,0,0,96,0.5,1008.7,1,1,0,0,13.9,0,3.2,0,11.1,0
2866927,0,0,53,,1008.8,1,0,0,0,21.7,0,16.1,0,13,0
2887510,0,0,97,1.3,1008.7,1,1,0,0,14.4,0,2.4,0,5.6,0
2911200,0,0,75,,1005.9,1,0,0,0,17.8,0,9.7,0,18.5,0
2911255,0,0,93,0.3,1000.5,1,1,0,0,13.9,0,9.7,0,22.2,
2911260,0,0,45,,1006.8,1,0,0,0,23.3,0,16.1,0,20.4,
2992492,0,0,94,0,1001.6,1,1,0,0,14,0,11.3,0,20.4,
3013611,0,0,53,,1003.1,1,0,0,0,32.8,0,4.8,0,20.4,
3013638,0,0,67,,1006.4,1,0,0,0,28.9,0,8.0,0,18.5,0
3013643,0,0,12,,1004.3,1,0,0,0,38.9,0,16.1,0,16.7,0
3033783,0,0,87,0,1000.6,1,1,0,0,14.4,0,16.1,0,22.2,
3033828,0,0,96,,1009,1,0,0,0,20,0,4.8,0,9.3,0
3067215,0,0,61,,1008.3,1,0,0,0,20,0,16.1,0,13,0
3073851,0,0,65,,1005.4,1,0,0,0,29.4,0,9.7,0,16.7,0
3073853,0,0,57,,1001.8,1,0,0,0,32.8,0,8.0,0,22.2,
3073858,0,0,76,,1007.6,1,0,0,0,28.9,0,4.8,0,29.6,
3073865,0,0,72,,1007.8,1,0,0,0,29.4,0,16.1,0,29.6,
3073996,0,0,37,,1005.1,1,0,0,0,32.2,0,16.1,0,33.3,
3162636,0,0,49,,1008.4,1,0,0,0,14.4,0,16.1,0,9.3,0
3162646,0,0,49,,1005.4,1,0,0,0,27.2,0,16.1,0,25.9,
3165972,0,0,58,,1005.4,1,0,0,0,24.4,0,16.1,0,14.8,0
3190160,0,0,91,0,1007.4,1,1,0,0,24.4,0,12.9,0,20.4,
3214388,0,0,73,,999.1,1,0,0,0,18.3,0,16.1,0,13,0
3214398,0,0,93,0,1002.4,1,1,0,0,16.7,0,2.0,0,13,0
3247545,0,0,48,0,994.5,1,1,0,0,23.9,1,12.9,0,22.2,
3247548,0,0,42,,1008.9,1,0,0,0,14.4,0,16.1,0,14.8,0
3247559,0,0,58,,1002.2,1,0,0,0,26.1,0,12.9,0,13,0
3247562,0,0,60,,1008.2,1,0,0,0,26.1,0,16.1,0,16.7,0
3247607,0,0,44,,1007.8,1,0,0,0,15,0,16.1,0,33.3,
3247619,0,0,83,27.2,1003.6,1,1,0,0,20,1,0.8,1,16.7,0
3328355,0,0,80,,995.6,1,0,0,0,17.8,0,12.9,0,22.2,
3328382,0,0,52,,1005.1,1,0,0,0,24.4,0,16.1,0,14.8,0
3347135,0,0,59,,1007.9,1,0,0,0,11.1,0,16.1,0,14.8,0
3347148,0,0,58,,1002.2,1,0,0,0,26.1,0,12.9,0,13,0
3427220,0,0,64,,1005,1,0,0,0,22.8,0,16.1,0,7.4,0
3427394,0,0,47,,1005.3,1,0,0,0,27.8,0,16.1,0,29.6,
3427397,0,0,64,,997.5,1,0,0,0,22.8,0,12.9,0,18.5,0
3427418,0,0,64,,998.1,1,0,0,0,22.2,0,14.5,0,16.7,0
3447747,0,0,53,,1007.7,1,0,0,0,12.2,0,16.1,0,13,0
3447775,0,0,44,,1009.1,1,0,0,0,15,0,16.1,0,14.8,0
3481184,0,0,67,0,1000.7,1,0,0,0,16.7,0,16.1,0,18.5,0
3481185,0,0,47,,1007,1,0,0,0,12.2,0,16.1,0,24.1,
3481195,0,0,71,,1002.4,1,0,0,0,21.1,0,16.1,0,16.7,0
3481199,0,0,73,,1009,1,0,0,0,22,0,12.9,0,24.1,
3481212,0,0,94,,999.2,1,0,0,0,20,0,16.1,0,7.4,0
3481224,0,0,71,,1000.4,1,0,0,0,23.3,0,16.1,0,18.5,0
3481226,0,0,64,,997.2,1,0,0,0,22.8,0,14.5,0,13,0
3514694,0,0,44,,1009.1,1,0,0,0,15,0,16.1,0,14.8,0
3514709,0,0,58,,1002.4,1,0,0,0,25.6,0,14.5,0,11.1,0
3521299,0,0,57,,1006.2,1,0,0,0,31.7,0,14.5,0,31.5,
3521332,0,0,58,,1009.1,1,0,0,0,33.3,0,16.1,0,38.9,
3521333,0,0,55,,1008.3,1,0,0,0,32.2,0,16.1,0,37,
3521339,0,0,59,,1007,1,0,0,0,32.8,0,16.1,0,38.9,
3521347,0,0,41,,1007.7,1,0,0,0,35.6,0,16.1,0,33.3,
3521380,0,0,63,,1005.6,1,0,0,0,33,0,9.7,0,14.8,0
3521389,0,0,39,,1004,1,0,0,0,36.7,0,16.1,0,18.5,0
3610787,0,0,40,,1022.7,0,0,0,0,22.2,0,16.1,0,16.7,0
3639254,0,0,86,0.3,1006.1,1,1,0,0,15.6,0,16.1,0,16.7,0
3782565,0,0,67,,1023.3,0,0,0,0,17.2,0,16.1,0,5.6,0
3782588,0,0,60,,1007.5,1,0,0,0,27.2,0,16.1,0,22.2,
3885137,0,0,64,,1007.9,1,0,0,0,22.8,0,16.1,0,14.8,0
3885140,0,0,67,,1023.3,0,0,0,0,17.2,0,16.1,0,5.6,0
3906459,0,0,54,,1008.3,1,0,0,0,25,0,16.1,0,25.9,
3940588,0,0,40,,1022.7,0,0,0,0,22.2,0,16.1,0,16.7,0
4102452,0,0,48,,1028.7,0,0,0,0,22.8,0,16.1,0,5.6,0
4127388,0,0,56,,1007.4,1,0,0,0,27.8,0,8.0,0,22.2,
4162214,0,0,45,,1024.6,0,0,0,0,18.9,0,16.1,0,5.6,0
4162218,0,0,62,,1006.5,1,0,0,0,27.2,0,8.0,0,22.2,
4162220,0,0,82,,1007,1,0,0,0,23.9,0,16.1,0,13,0
4265751,0,0,44,,1022.9,0,0,0,0,26.1,0,16.1,0,9.3,0
4265757,0,0,48,,1023.5,0,0,0,0,30,0,16.1,0,13,0
4265774,0,0,88,2,1007,1,1,0,0,22,1,4.0,0,37,
4265801,0,0,66,,1005.9,1,0,0,0,25.6,0,16.1,0,37,
4349993,0,0,48,,1023.6,0,0,0,0,25,0,16.1,0,11.1,0
4350014,0,0,85,,1005.5,1,0,0,0,23.3,0,8.0,0,18.5,0
4350026,0,0,56,,1022.7,0,0,0,0,26.7,0,12.9,0,9.3,0
4350046,0,0,66,,1005.9,1,0,0,0,25.6,0,16.1,0,37,
4350084,0,0,42,,1027.4,0,0,0,0,24.4,0,16.1,0,16.7,0
4350115,0,0,38,,1027.1,0,0,0,0,23.9,0,16.1,0,9.3,0
4371455,0,0,58,,1024.7,0,0,0,0,17.2,0,16.1,0,5.6,0
4371469,0,0,48,,1023.7,0,0,0,0,25,0,16.1,0,14.8,0
4371490,0,0,58,,1008.7,1,0,0,0,27.2,0,11.3,0,22.2,
4405902,0,0,64,,1025.7,0,0,0,0,26.1,0,12.9,0,16.7,0
4405919,0,0,84,0,1007.2,1,0,0,0,22.2,0,14.5,0,14.8,0
4447941,0,0,45,,1008.9,1,0,0,0,33.9,0,16.1,0,7.4,0
4448063,0,0,59,,1009,1,0,0,0,33,0,16.1,0,27.8,
4512812,0,0,62,0,1007.4,1,0,0,0,15.6,0,16.1,0,13,0
4537435,0,0,49,,1004.6,1,0,0,0,21.7,0,16.1,0,18.5,0
4589083,0,0,65,,1007.5,1,0,0,0,27.8,0,9.7,0,14.8,0
4622185,0,0,90,,1004.7,1,0,0,0,21.1,0,6.4,0,20.4,
4701879,0,0,68,,1009,1,0,0,0,25.6,0,11.3,0,25.9,
4801145,0,0,84,0,1006.8,1,0,0,0,17.2,0,16.1,0,9.3,0
4801223,0,0,93,1.5,1005.1,1,1,0,0,16.1,0,8.0,0,14.8,0
4801283,0,0,87,,1006.5,1,0,0,0,19.4,0,12.9,0,16.7,0
4801339,0,0,65,,1008.8,1,0,0,0,28.3,0,8.0,0,27.8,
4801340,0,0,73,,1005,1,0,0,0,19,0,16.1,0,24.1,
4801346,0,0,61,,1003.2,1,0,0,0,20.6,0,16.1,0,24.1,
4801398,0,0,78,0.3,1006.4,1,1,0,0,20.6,1,8.0,0,11.1,0
4821398,0,0,66,,1008.8,1,0,0,0,26.1,0,14.5,0,20.4,
4833915,0,0,43,,1009.1,1,0,0,0,35.6,0,16.1,0,18.5,0
4833930,0,0,79,,1008.2,1,0,0,0,27.8,0,16.1,0,29.6,
